a=0.5,a=1.0,a=1.5,a=2.0,t
19.72222222,19.72222222,19.72222222,19.72222222,0
19.76417982,19.66377699,19.31145795,18.66812763,0.1
19.80637092,19.57453878,18.5619436,15.98504473,0.2
19.8499904,19.48438855,17.37534431,9.628672708,0.3
19.89053968,19.33534515,15.16580936,0.153602942,0.4
19.93580457,19.2055949,11.62876595,0.351783639,0.5
19.98390797,19.15756722,7.169596332,0.533926069,0.6
20.03049127,19.00178254,3.892242202,0.69270683,0.7
20.07759838,18.82205497,2.753239611,0.830083043,0.8
20.12580528,18.69206369,2.301392603,0.952212789,0.9
20.17236485,18.5722893,2.067426946,1.060102315,1
20.22073768,18.35354698,1.935396273,1.155764414,1.1
20.26904721,18.10388696,1.868892099,1.246081127,1.2
20.31644408,17.84636579,1.840975267,1.332664885,1.3
20.36286849,17.55949943,1.836858658,1.41577453,1.4
20.41056627,17.16681854,1.844820334,1.492709509,1.5
20.45877122,16.66313481,1.863953387,1.566646795,1.6
20.50351263,16.194815,1.899105318,1.646013151,1.7
20.54181192,15.7195037,1.942052528,1.725676598,1.8
20.57931665,15.18604629,1.989887616,1.804129736,1.9
20.61699944,14.6023832,2.042509227,1.882611992,2
20.65390057,13.96802007,2.098192723,1.960257011,2.1
20.68973387,13.27687889,2.155410349,2.036042626,2.2
20.72498876,12.56738237,2.215542009,2.112331577,2.3
20.75904009,11.82770307,2.27632291,2.186762216,2.4
20.79277323,11.1178604,2.339987009,2.262692401,2.5
20.82575195,10.43713444,2.405026945,2.338463787,2.6
20.85717162,9.804514702,2.471534179,2.41452095,2.7
20.88706481,9.202728621,2.537601035,2.488436794,2.8
20.91681382,8.675829872,2.605708754,2.563916369,2.9
20.94587077,8.209049837,2.674695901,2.639465405,3
20.97425039,7.799824126,2.74447881,2.715110449,3.1
21.00196769,7.443708078,2.814986872,2.790874026,3.2
21.02918905,7.137235207,2.886363764,2.867074316,3.3
21.05608104,6.875898083,2.958730096,2.943979087,3.4
21.08176505,6.654820784,3.032243736,3.021917113,3.5
21.10637486,6.461069801,3.105664676,3.099064876,3.6
21.12729681,6.276011872,3.176436101,3.171638863,3.7
21.14854627,6.122031014,3.248601753,3.245899102,3.8
21.1703362,5.989876942,3.321087961,3.32020613,3.9
21.19200712,5.879133753,3.394463011,3.395487482,4
21.20473394,5.787939623,3.469411975,3.472934538,4.1
21.21040937,5.713004299,3.545565472,3.551935504,4.2
21.17450654,5.666977167,3.628482322,3.641475008,4.3
21.12888407,5.633971998,3.713107937,3.733254991,4.4
21.06382057,5.614936015,3.800555115,3.829126259,4.5
20.97896133,5.606589782,3.890150214,3.928022314,4.6
20.92516345,5.597335658,3.976590829,4.021194803,4.7
20.87497764,5.592977322,4.062866501,4.113685434,4.8
20.81217792,5.596469191,4.150899553,4.208738211,4.9
20.75397666,5.60386479,4.23879566,4.303189948,5
20.70242232,5.613571334,4.325873707,4.395941972,5.1
20.63104654,5.630520566,4.415403666,4.492538032,5.2
20.56538902,5.650414799,4.504857076,4.58868841,5.3
20.51372959,5.671873476,4.59340287,4.683001747,5.4
20.46860179,5.696713277,4.682355489,4.777730775,5.5
20.4087519,5.727443987,4.773901117,4.876637751,5.6
20.36722593,5.757423004,4.863291096,4.971604286,5.7
20.32092912,5.789845888,4.953135411,5.067159524,5.8
20.29676622,5.822320603,5.04130181,5.159597723,5.9
20.26455731,5.858518752,5.131125249,5.25472751,6
20.2471866,5.895585934,5.22011256,5.348206408,6.1
20.22770094,5.934776734,5.309679762,5.442541475,6.2
20.21072276,5.975840972,5.399621643,5.537364893,6.3
20.19557061,6.01853454,5.489847954,5.632531936,6.4
20.19940081,6.060219405,5.577718739,5.723433239,6.5
20.21687836,6.099626335,5.662175739,5.808302914,6.6
20.23248271,6.139732432,5.746333908,5.8926425,6.7
20.245135,6.18001543,5.829823121,5.975832703,6.8
20.25820043,6.222053073,5.913942992,6.060080535,6.9
20.27164376,6.26573982,5.998680451,6.145356392,7
20.28366098,6.310210614,6.083372829,6.230531494,7.1
20.29369124,6.355219281,6.167850004,6.315319696,7.2
20.30316843,6.401280717,6.252594767,6.400543432,7.3
20.3106134,6.447834591,6.33715642,6.485436199,7.4
20.31759439,6.49537252,6.422008557,6.570805126,7.5
20.32250535,6.54336332,6.506707815,6.65589517,7.6
20.32422493,6.591502731,6.591001676,6.740280258,7.7
20.32535362,6.640462072,6.67554001,6.825069986,7.8
20.34677142,6.687483146,6.756685038,6.903876971,7.9
20.36207395,6.736707119,6.839813071,6.986154046,8
20.36435622,6.788546672,6.925664912,7.073186951,8.1
20.34250833,6.843777226,7.01540744,7.166995938,8.2
20.34731685,6.896986736,7.10171454,7.254703138,8.3
20.34401661,6.95231257,7.190208226,7.346192974,8.4
20.32901448,7.009570267,7.280817502,7.4413423,8.5
20.29929052,7.068822482,7.373721256,7.540460369,8.6
20.27030967,7.128137222,7.466332522,7.639005185,8.7
20.24569367,7.18830881,7.559583169,7.738593472,8.8
20.21967961,7.249869282,7.654278459,7.840647558,8.9
20.19536671,7.311967051,7.749328745,7.943261025,9
20.16490739,7.375264154,7.845750428,8.048237219,9.1
20.14073687,7.438401535,7.941603115,8.152152593,9.2
20.13065032,7.501233303,8.036530867,8.254361352,9.3
20.10633411,7.566176577,8.134280803,8.361528555,9.4
20.06856605,7.632930009,8.234480334,8.473002635,9.5
20.03349432,7.699803156,8.334635005,8.584364536,9.6
20.00102991,7.767115823,8.435195511,8.696415117,9.7
19.97038839,7.835125618,8.536547791,8.80984467,9.8
19.94317839,7.903648001,8.638431179,8.92419675,9.9
19.91491943,7.972351252,8.740468502,9.038826462,10
19.88991524,8.041552661,8.843053946,9.154426049,10.1
19.85138799,8.11212865,8.947716473,9.273765138,10.2
19.81846085,8.18297228,9.05262603,9.393558697,10.3
19.77870585,8.254997715,9.159297521,9.516542498,10.4
19.74283588,8.327432999,9.266489989,9.640496536,10.5
19.70401988,8.400432771,9.374538278,9.766048517,10.6
19.66890472,8.473563539,9.482731197,9.891925625,10.7
19.63848998,8.546898285,9.591169506,10.01831259,10.8
19.60299335,8.620945201,9.700759173,10.14686833,10.9
19.55367717,8.696269927,9.81247993,10.27938458,11
19.48450929,8.773319785,9.927090445,10.417251,11.1
19.40038529,8.851759405,10.04405669,10.55952641,11.2
19.29668541,8.931445534,10.16321168,10.7059456,11.3
19.18931896,9.012267061,10.28429984,10.85604365,11.4
19.10737321,9.092726572,10.40482762,11.00534075,11.5
19.01031024,9.172986158,10.52532237,11.15487889,11.6
18.910353,9.254041806,10.64725297,11.30725439,11.7
18.81221852,9.33595458,10.77069882,11.46261292,11.8
18.69981539,9.418986037,10.89616843,11.62189933,11.9
18.6309474,9.500854399,11.01980223,11.77820315,12
18.57787988,9.583019856,11.1439806,11.9357628,12.1
18.53001968,9.665474931,11.26877287,12.09474276,12.2
18.48502684,9.748174816,11.39413593,12.25508856,12.3
18.44179313,9.831098782,11.5200548,12.41679104,12.4
18.38890864,9.914898859,11.64763258,12.58180682,12.5
18.34510533,9.999064064,11.77593855,12.74846406,12.6
18.28669166,10.08464759,11.90676482,12.91989012,12.7
18.22783252,10.1707132,12.03858674,13.09344292,12.8
18.16732618,10.25739189,12.17160871,13.26945183,12.9
18.09231668,10.34508724,12.30650373,13.44902138,13
18.02233291,10.43314754,12.44218704,13.6303025,13.1
17.9623885,10.52150123,12.57851725,13.81303133,13.2
17.91678219,10.60965958,12.71475431,13.99603853,13.3
17.87304677,10.69818143,12.85177703,14.18069754,13.4
17.81859919,10.78744783,12.99019573,14.36790012,13.5
17.74619352,10.87775548,13.13041318,14.55808807,13.6
17.68778781,10.96837199,13.27124402,14.74943314,13.7
17.63843091,11.05901619,13.41233196,14.94144885,13.8
17.58915282,11.15022103,13.55439824,15.13496733,13.9
17.53499475,11.24203939,13.69749922,15.32990089,14
17.51714174,11.33250732,13.83897754,15.52330492,14.1
17.49893349,11.4231892,13.98098546,15.71756756,14.2
17.4667569,11.51514185,14.12482224,15.91371994,14.3
17.44408195,11.60693715,14.26865912,16.10999607,14.4
17.42273874,11.69896033,14.41296638,16.30666886,14.5
17.38495572,11.79203125,14.55864137,16.50385983,14.6
17.34591447,11.88549533,14.70487034,16.70090529,14.7
17.31442777,11.97921457,14.85145099,16.89760193,14.8
17.29441027,12.07293061,14.99812679,17.09394699,14.9
17.28316275,12.16653016,15.14481039,17.28993802,15
17.27989063,12.26012532,15.29158124,17.48544826,15.1
17.25340273,12.35496163,15.43934848,17.67824794,15.2
17.22925959,12.45000054,15.58726102,17.86955328,15.3
17.24325941,12.54329991,15.73410608,18.06342296,15.4
17.25282168,12.63696786,15.88132021,18.25570195,15.5
17.2581205,12.73100471,16.02882969,18.44599459,15.6
17.26043618,12.82532036,16.17651836,18.63414023,15.7
17.26013037,12.9200136,16.32434809,18.81954044,15.8
17.2543494,13.01504337,16.47222573,19.00170762,15.9
17.24827997,13.11035866,16.62005584,19.18068539,16
17.23479477,13.20598226,16.76774643,19.35553033,16.1
17.21990202,13.30194597,16.91518905,19.52600079,16.2
17.20984155,13.39803924,17.06239746,19.69332689,16.3
17.21420745,13.49368573,17.20964813,19.86149456,16.4
17.23140624,13.58877527,17.35693803,20.03098271,16.5
17.23621209,13.68473166,17.50359211,20.19152833,16.6
17.25346157,13.78024069,17.65033259,20.35326543,16.7
17.27186664,13.87588234,17.79675481,20.51139308,16.8
17.28854149,13.97179068,17.94267328,20.66439431,16.9
17.30352066,14.0679567,18.08798748,20.81200984,17
17.32576787,14.16382041,18.23332724,20.95986467,17.1
17.34001714,14.26027392,18.3774494,21.09810559,17.2
17.35205431,14.35703189,18.52057128,21.22966709,17.3
17.37277226,14.45352947,18.66378387,21.36224745,17.4
17.39148214,14.55025847,18.80600409,21.48863032,17.5
17.40113993,14.64754844,18.94611251,21.60297166,17.6
17.41176053,14.74492928,19.08527974,21.7129522,17.7
17.41833518,14.84259643,19.22262468,21.81441414,17.8
17.42479463,14.94038844,19.35863773,21.91057777,17.9
17.43276211,15.03825562,19.49348307,22.00273118,18
17.44482436,15.13610939,19.62761509,22.09335398,18.1
17.45553487,15.23407138,19.76017354,22.1784833,18.2
17.47253754,15.33193573,19.8925194,22.26483065,18.3
17.49487095,15.42969891,20.02465168,22.35233087,18.4
17.51943902,15.5274943,20.15576566,22.43758901,18.5
17.54238129,15.62539415,20.28510864,22.51726358,18.6
