b=1,b=2,b=3,b=4,b=5,t
19.72222222,19.72222222,19.72222222,19.72222222,19.72222222,0
19.84867426,19.75130575,19.57003006,19.3453208,19.09285511,0.1
19.97606297,19.77456602,19.32851499,18.68532835,17.85257526,0.2
20.10315877,19.81162557,19.03348687,17.69460609,15.65461722,0.3
20.23041582,19.82535157,18.55314364,15.93292776,11.42920658,0.4
20.35317716,19.87517124,17.97511784,13.21947532,5.701121932,0.5
20.44233487,19.9854781,17.38882744,9.596574347,2.765595739,0.6
20.55787839,20.05930833,16.35313221,5.782583007,2.042211683,0.7
20.66834869,20.14310125,14.93125103,3.754954554,1.754807827,0.8
20.74935264,20.26081903,13.23755236,2.923562608,1.622370651,0.9
20.80520175,20.38742531,11.19005026,2.496761921,1.553471101,1
20.8908485,20.50724751,8.881167338,2.25017173,1.519192762,1.1
20.97082398,20.6313976,6.940831231,2.110288127,1.511937908,1.2
21.03107224,20.75794902,5.578942368,2.030550324,1.522131871,1.3
21.07966363,20.88063896,4.683598508,1.987142574,1.543580971,1.4
21.14268569,21.00522928,4.071482467,1.963447754,1.570057971,1.5
21.2163019,21.13059113,3.660078766,1.956586781,1.601978462,1.6
21.24855578,21.23217561,3.405984389,1.970076847,1.643916185,1.7
21.23909668,21.2917725,3.233182823,1.994180789,1.690447934,1.8
21.23305476,21.34376494,3.113185418,2.025335935,1.739674444,1.9
21.2366406,21.39484804,3.033441614,2.06296182,1.791773176,2
21.24150904,21.43930822,2.981020462,2.104991401,1.845603596,2.1
21.24444855,21.47579718,2.947242034,2.149691766,1.900091937,2.2
21.25073694,21.50897118,2.931431172,2.198165648,1.95643798,2.3
21.25392372,21.53467079,2.926409736,2.248120051,2.012909914,2.4
21.2623067,21.56040131,2.934252139,2.301489474,2.071376954,2.5
21.27121981,21.58295002,2.950682984,2.356768653,2.13067671,2.6
21.27722314,21.59828609,2.974603304,2.413941622,2.190931182,2.7
21.27822021,21.60673861,3.002331389,2.471219655,2.250601999,2.8
21.28467008,21.61858087,3.036759837,2.530760966,2.311761722,2.9
