S=1,S=2,S=3,S=4,S=5,t
19.72222222,19.72222222,19.72222222,19.72222222,19.72222222,0
19.45040596,19.47223996,19.49346025,19.51406684,19.53405972,0.1
18.9998925,19.06042798,19.11874189,19.17486098,19.22881216,0.2
18.38287255,18.50417819,18.61983276,18.72996499,18.83470532,0.3
17.34600839,17.571916,17.78535427,17.98665869,18.17618673,0.4
15.87942978,16.27483677,16.64591323,16.99295506,17.31645053,0.5
13.95743078,14.60709177,15.21797746,15.78767048,16.31489055,0.6
11.03614264,11.97379894,12.88887467,13.76535319,14.59056194,0.7
7.828363222,8.850377434,9.947783915,11.08606058,12.22701039,0.8
5.496422935,6.280304746,7.22943848,8.346206956,9.606908108,0.9
4.130205343,4.631369193,5.26832985,6.086747538,7.132014805,1
3.36331708,3.688414715,4.094042901,4.615723791,5.306747353,1.1
2.934368103,3.166887728,3.44842053,3.800272163,4.256632982,1.2
2.676460651,2.856113371,3.067939322,3.325102949,3.648682258,1.3
2.513493863,2.65993534,2.828834422,3.028827117,3.273520955,1.4
2.402210351,2.525435248,2.664861778,2.826368443,3.019050243,1.5
2.330453052,2.437153891,2.555943239,2.690995069,2.848663586,1.6
2.297567651,2.393085082,2.498082691,2.615715408,2.750730058,1.7
2.285565477,2.372713752,2.467483062,2.572335065,2.690939551,1.8
2.287798691,2.368369719,2.455167117,2.550153503,2.656233556,1.9
2.302192162,2.377543134,2.458058723,2.545335468,2.641723296,2
2.325049714,2.396121871,2.471517918,2.552553662,2.641157832,2.1
2.353532466,2.420986831,2.492075127,2.567889192,2.65002461,2.2
2.388546972,2.452991327,2.520510493,2.592019504,2.668853025,2.3
2.426914962,2.488742494,2.553169553,2.620964266,2.693245967,2.4
2.470668288,2.530297507,2.592134557,2.656829075,2.72532781,2.5
2.517772827,2.57549643,2.635093669,2.69711498,2.762363404,2.6
2.568006819,2.624077672,2.681735379,2.74144668,2.803893962,2.7
2.619200924,2.673774817,2.729678829,2.787305914,2.847232557,2.8
2.673678284,2.726958732,2.781349059,2.837179844,2.894938416,2.9
2.730101548,2.782234114,2.835282197,2.889522044,2.945363614,3
2.788249232,2.839358637,2.891210891,2.94403455,2.998171887,3.1
2.847935148,2.898129048,2.948911472,3.000468821,3.053083722,3.2
2.909193432,2.958569448,3.008395906,3.058821869,3.110077285,3.3
2.972046384,3.020692989,3.069666345,3.119082372,3.16912439,3.4
3.036545958,3.084546531,3.132762956,3.18128168,3.230244648,3.5
3.101503574,3.148910025,3.196429759,3.244122181,3.292091359,3.6
3.164552765,3.211371637,3.258202827,3.30507934,3.352068352,3.7
3.229306875,3.275604959,3.3218246,3.367975236,3.41409117,3.8
3.294769299,3.340589414,3.386247296,3.431730774,3.477044069,3.9
3.361392721,3.40678334,3.45193513,3.496816279,3.541403721,4
3.42966068,3.474688549,3.51940793,3.563769195,3.607724562,4.1
3.499242517,3.543960222,3.588305526,3.632212497,3.675610773,4.2
3.574708453,3.619266359,3.663399709,3.707029141,3.750065703,4.3
3.651859997,3.696305537,3.740279064,3.783688989,3.826429462,4.4
3.73157727,3.775973077,3.819854724,3.86311972,3.905647165,4.5
3.813265209,3.857661592,3.901505624,3.944684903,3.987064856,4.6
3.892604974,3.936965345,3.980733954,4.023788262,4.065979734,4.7
3.972008056,4.016342078,4.060046493,4.102989043,4.145007826,4.8
4.053005499,4.097350997,4.141032088,4.183907547,4.225803149,4.9
4.134063251,4.178428054,4.222094915,4.264913974,4.306699158,5
4.214616656,4.259000094,4.302652628,4.345415936,4.387092338,5.1
4.297263857,4.341709525,4.385394302,4.428152112,4.469774658,5.2
4.379988988,4.424503108,4.468227332,4.510988086,4.552566809,5.3
4.462129976,4.506706365,4.550464236,4.593222633,4.634752905,5.4
4.544729308,4.58937619,4.633177246,4.675944472,4.717439586,5.5
4.629488678,4.67424298,4.718126657,4.760945242,4.80245164,5.6
4.71265428,4.757496481,4.801442626,4.844291662,4.885787514,5.7
4.79626186,4.84120515,4.885227858,4.92812256,4.969624501,5.8
4.878671266,4.923696264,4.967776014,5.010696718,5.052184944,5.9
4.962461085,5.007591335,5.051753271,5.094727095,5.136231211,6
5.045703954,5.090929612,5.135164195,5.178181995,5.219693385,6.1
5.129471629,5.174803614,5.219122621,5.262197235,5.303730076,6.2
5.213610749,5.259055095,5.303465336,5.34660454,5.388167836,6.3
5.298042908,5.343605146,5.388112817,5.431323627,5.472925436,6.4
5.380740173,5.426394317,5.470972919,5.514228234,5.555840735,6.5
5.460857914,5.506571718,5.551187818,5.594452777,5.636039356,6.6
5.540778608,5.586556,5.63121375,5.67449278,5.716058217,6.7
5.620201363,5.666044628,5.710746251,5.754041495,5.795587835,6.8
5.70016755,5.746084192,5.79083804,5.834158901,5.875696871,6.9
5.780663903,5.826661115,5.871475176,5.914830621,5.956370425,7
5.861156736,5.907239026,5.952118111,5.995513324,6.037060618,7.1
5.941507316,5.987678476,6.03262655,6.076065704,6.117624918,7.2
6.022099466,6.068364947,6.113387934,6.156877535,6.198455906,7.3
6.102570744,6.148934321,6.194036152,6.23758032,6.279182201,7.4
6.183297178,6.229764172,6.274950616,6.318555664,6.360188053,7.5
6.263922968,6.310497149,6.355772116,6.399442126,6.441109314,7.6
6.344244681,6.390928949,6.436295316,6.480033122,6.521737884,7.7
6.424778275,6.471577577,6.517040654,6.560852014,6.602600664,7.8
6.502774417,6.549654892,6.595180015,6.639029311,6.680785093,7.9
6.582307881,6.629289422,6.674897534,6.718806988,6.760593698,8
6.663929556,6.711040419,6.756760928,6.800761335,6.842611475,8.1
6.748521507,6.795800173,6.841672973,6.885805924,6.927763175,8.2
6.83054073,6.877956175,6.923949438,6.96818214,7.010212527,8.3
6.914245402,6.961817457,7.007951938,7.052306266,7.09443305,8.4
6.999569413,7.047318688,7.09361577,7.138114038,7.180360672,8.5
7.086644591,7.13459295,7.181075255,7.225740999,7.268132144,8.6
7.173502456,7.22165157,7.268320733,7.313155527,7.35569267,8.7
7.260870624,7.309225078,7.356086054,7.401095304,7.443784408,8.8
7.349356404,7.39792694,7.444991038,7.490186738,7.533040653,8.9
7.438123023,7.486913831,7.53418543,7.579572188,7.622595791,9
7.527934805,7.576957993,7.624449625,7.670040476,7.713247426,9.1
7.617320773,7.666574581,7.714284395,7.760077368,7.803465527,9.2
7.706028171,7.755505022,7.803425371,7.849412729,7.892974244,9.3
7.796870985,7.846592517,7.894745788,7.940950828,7.984710124,9.4
7.889563628,7.939548409,7.987953767,8.03439638,8.078374256,9.5
7.98221721,8.032467728,8.081127657,8.127810309,8.17200919,9.6
8.075176741,8.125697103,8.174615843,8.221542924,8.26596738,9.7
8.168735574,8.219531455,8.26871491,8.315892606,8.360549162,9.8
8.262695201,8.313770571,8.363222882,8.410655529,8.455548762,9.9
8.356754368,8.408113781,8.457839497,8.505531625,8.550666022,10
8.451223489,8.502870938,8.552874212,8.600830161,8.646210294,10.1
8.547237635,8.599188417,8.649484913,8.697720797,8.743363341,10.2
8.643428355,8.695685002,8.746277322,8.794795819,8.840703538,10.3
8.740931005,8.793504692,8.84440433,8.893217334,8.939402627,10.4
