T=1,T=2,T=3,T=4,T=5,t
19.72222222,19.72222222,19.72222222,19.72222222,19.72222222,0
19.08623486,19.57065177,19.81635819,19.82335413,19.59163959,0.1
17.94330209,19.32539063,19.91910673,19.9060562,19.48689175,0.2
16.16920609,19.01738114,20.03391189,19.97932784,19.44044,0.3
13.19292382,18.49805044,20.14174766,20.07296095,19.46549908,0.4
9.212069035,17.84965261,20.26812224,20.1169818,19.43673784,0.5
5.65485107,17.15774418,20.35317894,19.99670621,19.24016712,0.6
3.767533158,15.90239856,20.47799732,20.05949133,19.27543309,0.7
2.955386883,14.11295046,20.59660159,20.11270899,19.3071523,0.8
2.560101991,11.92695648,20.65946033,20.07601016,19.25320698,0.9
2.330285732,9.380151461,20.67056401,19.99753108,19.16515566,1
2.187862205,6.89699898,20.75373577,20.03963834,19.19823169,1.1
2.106536126,5.208643137,20.82530076,20.0767765,19.22928438,1.2
2.063215778,4.208932658,20.85701658,20.0767358,19.22723535,1.3
2.044336911,3.607273927,20.86974043,20.0654759,19.21626675,1.4
2.038729882,3.211676279,20.92130012,20.10095389,19.24953868,1.5
2.04531484,2.951735464,20.99445316,20.16264078,19.30847201,1.6
2.068305598,2.79755374,20.98078216,20.1419498,19.29317515,1.7
2.099865412,2.6978303,20.88854098,20.05036223,19.21425698,1.8
2.137138773,2.633582903,20.82972174,19.9913264,19.16242276,1.9
2.179837131,2.596867407,20.80281769,19.96353004,19.13823095,2
2.226243078,2.578874356,20.78574803,19.94620838,19.12372309,2.1
2.274863052,2.573548579,20.77219353,19.93310856,19.11328276,2.2
2.326791825,2.580949272,20.76670869,19.92838613,19.11080204,2.3
2.37995624,2.595688035,20.76069423,19.92379453,19.10872508,2.4
2.436203791,2.619854318,20.76253902,19.92707863,19.11414692,2.5
2.494166025,2.650170997,20.7661309,19.93247668,19.12181985,2.6
2.553853278,2.68594368,20.76493711,19.93400498,19.12637582,2.7
2.613595999,2.724156268,20.76021869,19.93246024,19.12824451,2.8
2.675442168,2.767485415,20.7627923,19.93770955,19.13632989,2.9
2.738375468,2.814067888,20.76689144,19.94455147,19.14601016,3
2.802289686,2.863480313,20.77213913,19.95261892,19.15694461,3.1
2.867094135,2.915373583,20.77825407,19.96163205,19.16886773,3.2
2.9328801,2.969681233,20.78590906,19.97218273,19.18230113,3.3
2.999722831,3.026335845,20.79558048,19.98469898,19.19763039,3.4
3.067725974,3.085310089,20.80127486,19.99388733,19.2102154,3.5
3.135854674,3.14518491,20.80505879,20.0013512,19.22127238,3.6
3.201991256,3.203237749,20.79374424,19.99528139,19.22028685,3.7
3.269424008,3.263542228,20.79127399,19.99669724,19.22562274,3.8
3.337270427,3.324932319,20.79720385,20.00539224,19.23722663,3.9
3.405976018,3.387873966,20.80553421,20.01637111,19.25095825,4
3.476050057,3.452838773,20.76757624,19.98757809,19.2306183,4.1
3.54719622,3.519436129,20.70437103,19.93617859,19.19024485,4.2
3.623800099,3.592572449,20.43143554,19.708122,19.00143182,4.3
3.701876471,3.667667566,20.20011091,19.50267111,18.82267568,4.4
3.782289115,3.745639862,19.94642646,19.27261875,18.61810045,4.5
3.864488654,3.82582284,19.68128969,19.02793506,18.39642385,4.6
3.944315522,3.903598086,19.60121831,18.93968947,18.30517345,4.7
4.024098971,3.981536717,19.5427191,18.8736908,18.23520975,4.8
4.105327714,4.061256891,19.44556353,18.77682799,18.1403243,4.9
4.186522421,4.141120945,19.37547512,18.70465084,18.06755843,5
4.267141367,4.220525017,19.33394489,18.65875532,18.01864946,5.1
4.349713438,4.302209716,19.2287801,18.5602516,17.9260213,5.2
4.432281809,4.38404008,19.15353783,18.48693999,17.85485604,5.3
4.514203262,4.465316751,19.12420378,18.45377804,17.81886769,5.4
4.596495753,4.547135378,19.10658306,18.43248653,17.79455497,5.5
4.680829533,4.631273365,19.03697987,18.36843298,17.73485979,5.6
4.763537845,4.713789302,19.02859043,18.35633668,17.71972744,5.7
4.84661563,4.79681383,19.00349241,18.33115818,17.69432917,5.8
4.928454262,4.878633773,19.0336743,18.35457292,17.71185322,5.9
5.011586596,4.961939357,19.03144771,18.35152252,17.70766548,6
5.094122293,5.044717781,19.06292172,18.37832825,17.73014258,6.1
5.177117796,5.128081974,19.08093171,18.39459855,17.7443967,6.2
5.260424265,5.211870521,19.09868922,18.41143543,17.75987053,6.3
5.343966743,5.295999144,19.11550016,18.42808401,17.7757846,6.4
5.425749121,5.378361318,19.18019491,18.4867365,17.82886216,6.5
5.504940318,5.458078415,19.27473883,18.57331444,17.90787765,6.6
5.583888343,5.537624065,19.35893638,18.65099422,17.97935207,6.7
5.662296723,5.61668397,19.43071434,18.71817708,18.04195322,6.8
5.741194971,5.696341618,19.49514806,18.77979109,18.10039468,6.9
5.820571979,5.776580746,19.55293625,18.83634821,18.15504222,7
5.899900254,5.856845265,19.6012923,18.885302,18.20353249,7.1
5.979042703,5.936990368,19.63968621,18.92612914,18.24535835,7.2
6.05838114,6.017413204,19.67208359,18.96202282,18.28318914,7.3
6.137555835,6.097737265,19.69586347,18.99071486,18.3150197,7.4
6.216941624,6.178351047,19.71565233,19.01584277,18.3438167,7.5
6.29618448,6.258885628,19.72824647,19.0347527,18.36730914,7.6
6.375081566,6.3391303,19.73199356,19.04601693,18.3842442,7.7
6.454148259,6.419617652,19.7343444,19.05542466,18.39927039,7.8
6.530668461,6.497513154,19.80555665,19.12081839,18.46061143,7.9
6.608674814,6.577017056,19.84820386,19.16322946,18.50315701,8
6.688712031,6.658693064,19.83807819,19.16385593,18.51180494,8.1
6.771656183,6.743444238,19.73804537,19.09425057,18.46419477,8.2
6.852012593,6.825570645,19.75586742,19.11180968,18.48356906,8.3
6.934007947,6.909448237,19.74138858,19.10389888,18.48228296,8.4
7.017574475,6.995006726,19.68764733,19.06457415,18.45526561,8.5
7.102843808,7.082379061,19.59159711,18.99058298,18.39943655,8.6
7.187854417,7.169546585,19.52077262,18.93261926,18.35405955,8.7
7.273340792,7.257252932,19.47315278,18.8912509,18.32063021,8.8
7.359909119,7.346118781,19.42408095,18.84835256,18.28535085,8.9
7.446720922,7.435287738,19.38685303,18.81447088,18.25679273,9
7.534538463,7.525540963,19.33416089,18.7683624,18.21806653,9.1
7.621891497,7.615374772,19.30909557,18.7437416,18.19622671,9.2
7.708536256,7.70452902,19.32459607,18.75277822,18.20233772,9.3
7.797279768,7.795878606,19.29169298,18.72410964,18.17816474,9.4
7.887837539,7.889129598,19.21893016,18.66406413,18.12854036,9.5
7.978315186,7.982355895,19.16660506,18.61841222,18.08949815,9.6
8.069062534,8.075907911,19.12704657,18.58234515,18.05779243,9.7
8.160376787,8.170083334,19.0936628,18.55125157,18.03004271,9.8
8.252059019,8.264679605,19.07027388,18.5283778,18.00904384,9.9
8.343797072,8.359392724,19.04759791,18.50642588,17.98891217,10
8.435912708,8.454535491,19.03240418,18.4909032,17.9742588,10.1
8.529539922,8.551263454,18.97887969,18.44575983,17.93587552,10.2
8.623308581,8.648183582,18.94507296,18.41526527,17.90888187,10.3
8.718362247,8.746448275,18.89190155,18.36967483,17.86970381,10.4
8.813760827,8.845109013,18.85278884,18.33445436,17.83851672,10.5
8.909742368,8.944412051,18.80900842,18.2954996,17.80421137,10.6
9.005767785,9.0438149,18.77908064,18.26719515,17.77834462,10.7
9.101919323,9.143395899,18.76165275,18.24905849,17.76086319,10.8
9.198873587,9.24383733,18.73033592,18.22055662,17.73525989,10.9
9.297373598,9.345879785,18.66314289,18.16443551,17.68756691,11
9.398007112,9.450098193,18.54705417,18.07010413,17.60906666,11.1
9.500369245,9.556082572,18.40511497,17.9531606,17.51113046,11.2
9.604321331,9.663697032,18.23584659,17.81198741,17.3921216,11.3
9.709694614,9.772753825,18.07592546,17.67308006,17.27202679,11.4
9.814545721,9.881352663,17.99482222,17.59167824,17.1953337,11.5
9.919209564,9.98986524,17.90682347,17.50548852,17.11464124,11.6
10.02489504,10.09943167,17.81390566,17.41617595,17.03137636,11.7
10.13167827,10.21011453,17.72235916,17.3282762,16.94908811,11.8
10.23994748,10.32229306,17.60353512,17.22002429,16.85063366,11.9
10.34665901,10.4330262,17.58271677,17.18660371,16.81136065,12
10.45372039,10.5441378,17.57867761,17.16960759,16.78705647,12.1
10.56116241,10.65567037,17.57672944,17.15674416,16.76752357,12.2
10.66894206,10.76758641,17.57461206,17.14574173,16.75070214,12.3
