S,T,aMax,bMax,v0,least square,id,length,type,leader_id,leader_type,front_length,group,times,error
7.068823814,1.160274029,1.11953783,4.133712769,21.87261581,1445.437292,3454,4,1,2376,2,7.5,1,713,1.423819258
2.70022583,1.699020386,2.104446411,2.820480347,21.62017822,1686.100051,3502,4.5,1,2763,2,8.5,2,701,1.55089595
2.095892906,1.755599976,1.314832687,3.444539547,47.49903679,1819.653283,3423,4.5,1,2041,1,5.5,2,746,1.561798168
2.353956223,0.579337597,4.653707027,3.689097404,41.82720184,2315.541396,3419,4,1,2008,1,4.5,1,877,1.624899399
7.196570396,1.325064659,1.201247692,0.5,22.1953392,2419.537743,3450,4,1,2923,1,3.5,1,768,1.774947822
5.567901611,0.666305542,4.271514893,0.559753418,34.47113037,2680.710026,3456,3.5,1,2385,1,4.5,1,719,1.930903075
3.555392265,2.02161932,0.657256603,6,28.46622467,2699.66956,3314,6,1,948,1,4,3,721,1.935029866
2.570556641,2.186401367,1.910751343,4.982849121,20.99914551,2320.142743,3300,4.5,1,798,2,8.5,2,539,2.074736608
7.386688232,0.993835449,1.770263672,1.178604126,49.48577881,9098.085686,1629,4,1,1627,1,3.5,1,2085,2.088920836
7.484313965,0.642822266,2.079772949,2.403045654,28.62091064,3106.755865,3396,3,1,1879,1,4,1,670,2.153357623
6.28754425,1.320652962,1.153594971,6,46.43511772,3734.77899,3431,4.5,1,2160,1,4,2,781,2.186789282
1.81692791,1.241002083,1.857318401,0.5,50,10384.20533,1670,4,1,1668,1,3,1,2170,2.187543846
4.129364014,1.306121826,3.492706299,3.223815918,40.68603516,2949.681173,3371,5.5,1,1562,1,4,3,593,2.230284116
2.349349976,1.404724121,2.284886837,0.500015736,41.07208252,11059.01672,1559,3,1,1557,1,4,1,2188,2.248198214
3.591674805,3.723526001,5.972976685,3.283737183,26.80053711,3743.594374,3305,4.5,1,878,1,4,2,704,2.305993418
1,2.287376881,4.421559334,1.720769882,50,3827.456151,3458,4.5,1,2418,1,3.5,2,704,2.331679113
1,2.064989567,0.500005245,3.638738155,27.50091553,2547.009611,3530,4.5,1,700,1,4.5,2,468,2.332879814
7.927368164,0.617279053,3.466522217,0.618499756,16.9128418,3918.316991,3332,4,1,1085,1,3,1,707,2.354182228
7.558441162,2.799301147,5.864212036,2.85824585,40.57312012,3865.057509,3522,6,1,2387,2,8,3,692,2.363333075
7.44329834,0.945495605,3.391998291,0.726928711,27.88391113,12094.81371,2962,4.5,1,1691,1,3.5,2,2160,2.366315869
2.488525391,2.17376709,1.474517822,2.81678772,34.0927124,4002.565483,3491,4,1,2694,2,6.5,1,711,2.372654066
6.756500244,1.175247192,3.069732666,2.364608765,29.07104492,4285.620131,3401,4,1,1903,1,3.5,1,743,2.401665004
2.326385498,0.964172363,3.482131958,0.601379395,35.44616699,2996.002395,3285,4,1,3284,2,7.5,1,517,2.407275559
3.964874268,1.306671143,4.869384766,2.555282593,32.31811523,3192.292746,3254,4,1,397,2,13,1,548,2.413576542
5.731536865,0.804458618,2.464141846,0.5,47.74179459,12709.01664,1761,4,1,1759,1,3,1,2114,2.451904116
4.017632484,0.857961178,1.625427723,0.503440857,50,14595.05439,2751,4,1,2750,1,4.5,1,2422,2.454798162
3.855712891,0.956344604,1.069335938,3.881439209,36.63787842,4488.331381,3459,3.5,1,2420,1,4,1,732,2.476206826
1.722259521,1.245834351,1.308349609,4.436340332,45.75805664,12570.53099,1455,3,1,1453,1,3,1,2033,2.486612556
3.169555664,1.184997559,2.442153931,1.285858154,18.45855713,4808.317312,3404,4.5,1,1942,2,9,2,767,2.503795635
6.417266846,2.640823364,4.783447266,3.523086548,48.98681641,4325.688298,3352,4,1,1369,1,6,1,690,2.503819777
5.371582031,1.195846558,3.725509644,3.16053772,46.78955078,13520.40989,1553,3,1,1550,1,4.5,1,2140,2.513552973
1.344994545,2.720199585,1.243513584,0.956039429,31.58106804,4489.07873,3473,4,1,2486,2,11.5,1,707,2.519816435
1.831207275,0.715606689,0.854156494,1.70916748,39.43023682,4530.688135,1943,3,1,3579,2,12,1,701,2.542278212
2.547271729,0.800888062,1.966140747,1.199584961,32.59429932,4708.154269,3389,4,1,1812,1,3.5,1,716,2.564299993
6.681518555,1.004684448,3.981307983,1.382034302,36.88964844,14600.3477,1572,4,1,1570,1,4,1,2176,2.590312455
5.77746582,1.050552368,2.041503906,0.750762939,25.91094971,3450.118955,3276,3,1,537,1,3.5,1,513,2.593333392
